Chapter_Number,Chapter_Name,Section_Number,Section_Name,Section_Note,Subsection_Number,Subsection_Name,Subsection_Note
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.2,Wheelchair-accessible telephones,"Where public telephones are provided, wheelchair-accessible telephones shall be provided in accordance withTable E106.2. Exception: Drive-up-only public telephones are not required to beaccessible."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.3,Volume Controls,All public telephones provided shall have accessible volume control
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4,TTYs,TTYs shall be provided in accordance withSections E106.4.1 through E106.4.9.
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.1,Bank requirement,"Where four or more public pay telephones are provided at a bank of telephones, at least one public TTY shall be provided at that bank. Exception: TTYs are not required at banks of telephones located within 200 feet (60 960 mm) of, and on the same floor as, a bank containing a public TTY."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.2,Floor requirement,"Where four or more public pay telephones are provided on a floor of a privately owned building, one or more public TTY shall be provided on that floor. Where one public pay telephone or more, is provided on a floor of a publicly owned building, not fewer than one public TTY shall be provided on that floor."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.3,Building requirement,"Where four or more public pay telephones are provided in a privately owned building, one or more public TTY shall be provided in the building. Where at least one public pay telephone is provided in a publicly owned building, one or more public TTY shall be provided in the building"
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.4,Site requirement,"Where four or more public pay telephones are provided on a site, one or more public TTY shall be provided on the site."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.5,"Rest stops, emergency road stops and service plazas","Where a public pay telephone is provided at a public rest stop, emergency road stop or service plaza, at least one public TTY shall be provided."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.6,Hospitals,"Where a public pay telephone is provided in or adjacent to a hospital emergency room, hospital recovery room or hospital waiting room, one or more public TTY shall be provided at each such location."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.5.7,Transportation facilities,Transportation facilities shall be provided with TTYs in accordance with Sections E109.2.5 and E110.2 in addition to the TTYs required by Sections E106.4.1 through E106.4.4.
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.8,Detention and correctional facilities,"In detention and correctional facilities, where a public pay telephone is provided in a secured area used only by detainees or inmates and security personnel, then not fewer than one TTY shall be provided in not fewer than one secured area."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.4.9,Signs,"Public TTYs shall be identified by the International Symbol of TTY complying with ICC A117.1. Directional signs indicating the location of the nearest public TTY shall be provided at banks of public pay telephones not containing a public TTY. Additionally, where signs provide direction to public pay telephones, they shall provide direction to public TTYs. Such signs shall comply with visual signage requirements in ICC A117.1 and shall include the International Symbol of TTY."
Appendix E,Supplementary Accessibility Requirements,E106,Telephones,,E106.5,Shelves for portable TTYs,"Where a bank of telephones in the interior of a building consists of three or more public pay telephones, not fewer than one public pay telephone at the bank shall be provided with a shelf and an electrical outlet. Exceptions:
1. In secured areas of detention and correctional facilities, if shelves and outlets are prohibited for purposes of
security or safety shelves and outlets for TTYs are not required to be provided.
2. The shelf and electrical outlet shall not be required at a bank of telephones with a TTY."
Appendix E,Supplementary Accessibility Requirements,E107,Signage,,E107.1,Signs,Required accessible portable toilets and bathing facilities shall be identified by the International Symbol of Accessibility.
Appendix E,Supplementary Accessibility Requirements,E107,Signage,,E107.2,Designations,"Interior and exterior signs identifying permanent rooms and spaces shall be visual characters, raised characters and braille complying with ICC A117.1. Where pictograms are provided as designations of interior rooms and spaces, the pictograms shall have visual characters, raised characters and braille complying with ICC A117.1. Exceptions:
1. Exterior signs that are not located at the door to the space they serve are not required to comply.
2 . Building directories, menus, seat and row designations in assembly areas, occupant names, building addresses and company names and logos are not required to comply.
3. Signs in parking facilities are not required to comply.
4. Temporary (seven days or less) signs are not required to comply.
5. In detention and correctional facilities, signs not located in public areas are not required to comply."
Appendix E,Supplementary Accessibility Requirements,E107,Signage,,E107.3,Directional and informational signs,"Signs that provide direction to, or information about, permanent interior spaces of the site and facilities shall contain visual characters complying with ICC A117.1. Exception: Building directories, personnel names, company or occupant names and logos, menus and temporary (seven days or less) signs are not required to comply with ICC A117.1."
Appendix E,Supplementary Accessibility Requirements,E107,Signage,,E107.4,Other signs,"Signage indicating special accessibility provisions shall be provided as follows:
1. At bus stops and terminals, signage must be provided in accordance withSection E108.4.
2 . At fixed facilities and stations, signage must be provided in accordance withSections E109.2.2 through E109.2.2.3.
3. At airports, terminal information systems must be provided in accordance withSection E110.3."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.1,General,Bus stops shall comply withSections E108.2 through E108.5.
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.2,Bus boarding and alighting areas,Bus boarding and alighting areas shall comply withSections E108.2.1 through E108.2.4.
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.2.1,Surface,"Bus boarding and alighting areas shall have a firm, stable surface."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.2.2,Dimensions,"Bus boarding and alighting areas shall have a clear length of 96 inches (2440 mm) minimum, measured perpendicular to the curb or vehicle roadway edge, and a clear width of 60 inches (1525 mm) minimum, measured parallel to the vehicle roadway."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.2.3,Connection,"Bus boarding and alighting areas shall be connected to streets, sidewalks or pedestrian paths by anaccessible route complying with Section 1104."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.2.4,Slope,"Parallel to the roadway, the slope of the bus boarding and alighting area shall be the same as the roadway, to the maximum extent practicable. For water drainage, a maximum slope of 1:48 perpendicular to the roadway is allowed."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.3,Bus Shelters,"Where provided, new or replaced bus shelters shall provide a minimum clear floor or ground space complying with ICC A117.1, Section 305, entirely within the shelter. Such shelters shall be connected by anaccessible route to the boarding area required by Section E108.2."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.4,Signs,"New bus route identification signs shall have finish and contrast complying withICC A117.1. Additionally, to the maximum extent practicable, new bus route identification signs shall provide visual characters complying with ICC A117.1. Exception: Bus schedules, timetables and maps that are posted at the bus stop or bus bay are not required to meet this requirement."
Appendix E,Supplementary Accessibility Requirements,E108,Bus stops,,E108.5,Bus Stop Siting,"Bus stop sites shall be chosen such that, to the maximum extent practicable, the areas where lifts orramps are to be deployed comply with Sections E108.2 and E108.3."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.1,General,Fixed transportation facilities and stations shall comply with the applicable provisions of Section E109.2.
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2,New Construction,"New stations in rapid rail, light rail, commuter rail, intercity rail, high speed rail and other fixed guideway systems shall comply with Sections E109.2.1 through E109.2.8."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.1,Station Entrances,"Where different entrances to a station serve different transportation fixed routes or groups of fixed routes, at least one entrance serving each group or route shall comply with Section 1104."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.2,Signs,Signage in fixed transportation facilities and stations shall comply withSections E109.2.2.1 through E109.2.2.3.
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.2.1,Raised character and braille signs,"Where signs are provided at entrances to stations identifying the station or the entrance, or both, at least one sign at each entrance shall be raised characters and braille. A minimum of one raised character and braille sign identifying the specific station shall be provided on each platform or boarding area. Such signs shall be placed in uniform locations at entrances and on platforms or boarding areas within the transit system to the maximum extent practicable. Exceptions:
1. Where the station does not have a defined entrance but signs are provided, the raised characters and braille
signs shall be placed in a central location.
2. Signs are not required to be raised characters and braille where audible signs are remotely transmitted to
hand-held receivers, or are user or proximity actuated."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.2.2,Identification signs,Stations covered by this section shall have identification signs containing visual characters complying withICC A117.1. Signs shall be clearly visible and within the sightlines of a standing or sitting passenger from within the train on both sides when not obstructed by another train.
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.2.3,Informational Signs,"Lists of stations, routes and destinations served by the station that are located on boarding areas, platforms or mezzanines shall provide visual characters complying withICC A117.1. Signs covered by this provision shall, to the maximum extent practicable, be placed in uniform locations within the transit system."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.3,Fare machines,"Self-service fare vending, collection and adjustment machines shall comply with ICC A117.1,Section 707. Where self service fare vending, collection or adjustment machines are provided for the use of the general public, at least one accessible machine of each type provided shall be provided at each accessible point of entry and exit."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.4,Rail-to-platform height,"Station platforms shall be positioned to coordinate with vehicles in accordance with the applicable provisions of 36 CFR, Part 1192. Low-level platforms shall be 8 inches (250 mm) minimum above top of rail. Exception: Where vehicles are boarded from sidewalks or street level, low-level platforms shall be permitted to be less than 8 inches (250 mm)."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.5,TTYs,"Where a public pay telephone is provided in a transit facility (as defined by the Department of Transportation), at least one public TTY complying with ICC A117.1, Section 704.4, shall be provided in the station. In addition, where one or more public pay telephones serve a particular entrance to a transportation facility, at least one TTY telephone complying with ICC A117.1, Section 704.4, shall be provided to serve that entrance."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.6,Track crossings,"Where a circulation path serving boarding platforms crosses tracks, anaccessible route shall be provided. Exception: Openings for wheel flanges shall be permitted to be 2/ inches (64 mm) maximum."
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.7,Public address systems,"Where public address systems convey audible information to the public, the same or equivalent information shall be provided in a visual format"
Appendix E,Supplementary Accessibility Requirements,E109,Transportation Facilities and Stations,,E109.2.8,Clocks,"Where clocks are provided for use by the general public, the clock face shall be uncluttered so that its elements are clearly visible. Hands, numerals and digits shall contrast with the background either light-on-dark or dark-on-light. Where clocks are mounted overhead, numerals and digits shall comply with visual character requirements."
Appendix E,Supplementary Accessibility Requirements,E110,Airports,,E110.1,New Construction,New construction of airports shall comply withSections E110.2 through E110.4
Appendix E,Supplementary Accessibility Requirements,E110,Airports,,E110.2,TTYs,"Where public pay telephones are provided, at least one TTY shall be provided in compliance with ICC A117.1,Section 704.4. Additionally, if four or more public pay telephones are located in a main terminal outside the security areas, a concourse within the security areas or a baggage claim area in a terminal, at least one public TTY complying with ICC A117.1, Section 704.4, shall also be provided in each such location."
Appendix E,Supplementary Accessibility Requirements,E110,Airports,,E110.3,Terminal Information Systems,"Where terminal information systems convey audible information to the public, the same or equivalent information shall be provided in a visual format."
Appendix E,Supplementary Accessibility Requirements,E110,Airports,,E110.4,Clocks,"Where clocks are provided for use by the general public, the clock face shall be uncluttered so that its elements are clearly visible. Hands, numerals and digits shall contrast with the background either light-on-dark or dark-on-light. Where clocks are mounted overhead, numerals and digits shall comply with visual character requirements"
Appendix E,Supplementary Accessibility Requirements,E111,Referenced Standards,,E111.1,General,"See Table E111.1 for standards that are referenced in various sections of this appendix. Standards are listed by the standard identification with the effective date, standard title, and the section or sections of this appendix that reference the standard."
Chapter 1,Application and Administration,101,Title,"This document shall be known as the standard for Accessible and Usable Buildings and Facilities, hereinafter referred to as “this standard.”",,,
Chapter 1,Application and Administration,102,Purpose,,102.1,General,"The technical criteria in Chapters 3 through 10, Sections 1102, 1103 and 1106 of this standard make sites, facilities, buildings and elements accessible to and usable by people with such physical disabilities as the inability to walk, difficulty walking, reliance on walking aids, blindness and visual impairment, deafness and hearing impairment, incoordination, reaching and manipulation disabilities, lack of stamina, difficulty interpreting and reacting to sensory information, and extremes of physical size. The intent of these sections is to allow a person with a physical disability to independently get to, enter, and use a site, facility, building or element.
Section 1104 of this standard provides criteria for Type B units. These criteria are intended to be consistent with the intent of the criteria of the U.S. Department of Housing and Urban Development (HUD) Fair Housing  Guidelines. The Type B units are intended to supplement, not replace, Accessible units or Type A units as specified in this standard.
Section 1105 of this standard provides criteria for minimal accessibility features for one and two family dwelling units and townhouses which are not covered by the U.S. Department of Housing and Urban Development (HUD) Fair Housing Accessibility Guidelines.
This standard is intended for adoption by government agencies and by organizations setting model codes to achieve uniformity in the technical design criteria in building codes and other regulations."
Chapter 1,Application and Administration,102,Purpose,,102.2,Applicability,"Sites, facilities, buildings, and elements required to be accessible by the scoping provisions adopted by the administrative authority shall comply with the applicable provisions of Chapters 3 through 10. Dwelling units and sleeping units shall comply with the applicable provisions of Chapter 11."
Chapter 1,Application and Administration,103,Human Factor Provisions,"The technical criteria in this standard are based on body sizes and functional abilities of adults and, in those sections where specifically noted, children.",,,
Chapter 1,Application and Administration,104,Compliance Alternatives,"Nothing in this standard is intended to prevent the use of designs, products or technologies as alternatives to those prescribed by this standard, provided they result in equivalent or greater accessibility and such equivalency is approved by the administrative authority adopting this standard.",,,
Chapter 1,Application and Administration,105,Conventions,,105.1,General,"Where specific criteria of this standard differ from the general criteria of this standard, the specific criteria shall apply."
Chapter 1,Application and Administration,105,Conventions,,105.2,Calculation of percentages,"Where the determination of the required size or dimension of an element or facility involves ratios or percentages,rounding down for values less than one half shall be permitted."
Chapter 1,Application and Administration,105,Conventions,,105.3,dimension tolerances,All dimensions are subject to conventional industry tolerances except where the requirement is a range with stated minimum and maximum end points.
Chapter 1,Application and Administration,105,Conventions,,105.4,figures,"Unless specifically stated, figures included herein are provided for informational purposes only and are not considered part of the standard."
Chapter 1,Application and Administration,105,Conventions,,105.5,Floor or Floor surface,"The terms floor or floor surface refer to the finish floor surface or ground surface, as applicable"
Chapter 1,Application and Administration,105,Conventions,,105.6,Referenced sections,"Unless specifically stated otherwise, a reference to another section or subsection within this standard includes all subsections of the referenced section or subsection."
Chapter 1,Application and Administration,106,Referenced Documents,,106.1,General,"The documents listed in Section 106.2 shall be considered part of this standard to the prescribed extent of each such reference. Where criteria in this standard differ from those of these referenced documents, the criteria of this standard shall apply"
Chapter 1,Application and Administration,106,Referenced Documents,,106.2,Documents,
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.1,Americans with Disabilities Act (ADA) Accessibility Guidelines for Transportation Vehicles.,"36 CFR 1192 published in 56 Federal Register 45558, September 6, 1991 (United States Access Board, 1331 F Street, NW, Suite 1000, Washington, DC 20004-1111)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.2,Hearing aids – Magnetic field strength in audio-frequency induction loops for hearing aids operating with an induction pickup coil.,"IEC 60118.4-2014 (International Electrotechnical Commission, 3 rue de Varenbe, PO Box 131, 1211 Geneva 20, Switzerland.)"
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.3,Manual on Uniform Traffic Control Devices,"MUTCD-2009 with Revisions 1 and 2 incorporated, May 2012 (The Federal Highway Administration, Office of Transportation Operations, Room 3408, 400 7th Street, S.W., Washington, DC 20590)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.4,National Fire Alarm and Signaling Code.,"NFPA 72-2016 (National Fire Protection Association, 1 Batterymarch Park, Quincy, MA 02269-9101)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.5,Performance Criteria for Accessible Communications Entry Systems.,"DASMA 303-2006. (Door and Access Systems Manufacturers Association, 1300 Sumner Avenue, Cleveland, OH 44115-2851)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.6,Power Assist and Low Energy Power Operated Doors,"BHMA A156.19- 2013 (Builders Hardware Manufacturers’ Association, 355 Lexington Avenue, 15th Floor, New York, NY 10017)"
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.7,Power Operated Pedestrian Doors.,"ANSI/BHMA A156.10-2011 (Builders Hardware Manufacturers’ Association, 355 Lexington Avenue, 15th Floor, New York, NY 10017)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.8,Safety Code for Elevators and Escalators,"ASME A17.1-2013/CSA B44-16 (American Society of Mechanical Engineers International, Three Park Avenue, New York, NY 10016-5990)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.9,Safety Standard for Platform Lifts and Stairway Chairlifts.,"ASME A18.1-2014 (American Society of Mechanical Engineers International, Three Park Avenue, New York, NY 10016-5990)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.10,Standard Consumer Safety Performance Specification for Playground Equipment for Public Use.,"ASTM F 1487-01 (ASTM International, 100 Barr Harbor Drive, PO Box C700, West Conshohocken, PA, 19428-2959)."
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.11,Standard Laboratory Test Method for Determination of Forces and Motions Required to Activate Operable Parts of Operable Windows and Doors in Accessible Spaces.,"AAMA 513-14 (AAMA, 1827 Walden Office Square, Suite 550, Schaumburg, IL 60173-4268)"
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.12,Standard Specification for Impact Attenuation of Surfacing Materials Within the Use Zone of Playground Equipment.,"ASTM F 1292-13 (ASTM International, 100 Barr Harbor Drive, PO Box C700, West Conshohocken, PA, 19428-2959)"
Chapter 1,Application and Administration,106,Referenced Documents,,106.2.13,Standard Test Method for Determination of Decay Rates for Use in Sound Insulation Test Methods.,"ASTM E 2235-04 (2012) (ASTM International, 100 Barr Harbor Drive, PO Box C700, West Conshohocken, PA 19428-2959)"
Chapter 1,Application and Administration,107,Definitions,,107.1,General,"For the purpose of this standard, the terms listed inSection 107.5 have the indicated meaning."
Chapter 1,Application and Administration,107,Definitions,,107.2,Terms defined in referenced documents,"Terms specifically defined in a referenced document, and not defined in this section, shall have the specified meaning from the referenced document."
Chapter 1,Application and Administration,107,Definitions,,107.3,undefined terms,The meaning of terms not specifically defined in this standard or in a referenced document shall be as defined by collegiate dictionaries in the sense that the context implies.
Chapter 1,Application and Administration,107,Definitions,,107.4,Interchangeability,"Words, terms and phrases used in the singular include the plural, and those used in the plural include the singular."
